,Acceleration,Air duel,Ball out of the field,Clearance,Corner,Cross,Foul,Free Kick,Free kick cross,Free kick shot,Goal kick,Goalkeeper leaving line,Ground attacking duel,Ground defending duel,Ground loose ball duel,Hand foul,Hand pass,Head pass,High pass,Late card foul,Launch,Out of game foul,Penalty,Protest,Reflexes,Save attempt,Shot,Simple pass,Simulation,Smart pass,Substitution,Throw in,Time lost foul,Touch,Violent Foul,Whistle,Offside
G1,0.5,0.5636132315521628,0.5,0.6574074074074074,0.5,0.5,0.5,1.5,0.5161290322580645,0.5,1.5,1.5,0.5,0.5029239766081871,0.5346820809248555,0.5,1.5,0.5,1.2254901960784315,0.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.6065637065637066,0.5,0.5,0.5,0.5,,0.8680981595092024,,0.5,0.5
D1,0.625,1.1921119592875318,0.5,1.5,0.5,0.6153846153846154,0.9,0.5775862068965517,0.5,0.5,0.5029325513196481,0.5,0.5847457627118644,1.04093567251462,1.0491329479768785,0.5,0.5,1.5,1.5,0.5,0.5567567567567567,0.5,0.5,0.5,0.5,0.5,0.8157894736842105,1.076061776061776,0.5,0.625,0.6,0.5191387559808612,,1.3282208588957056,,0.5,0.7105263157894737
D2,0.5,0.7926208651399491,0.5,1.4537037037037037,0.5,0.5192307692307693,0.9888888888888889,0.603448275862069,0.5967741935483871,0.5,0.5,0.5,0.5466101694915254,0.9269005847953216,0.8988439306358382,1.0,0.5,1.2007299270072993,1.0359477124183005,0.5,0.5513513513513514,0.5,0.5,0.5,0.5,0.5,0.7105263157894737,0.883011583011583,0.5,0.53125,0.65,0.5,,0.8558282208588956,,0.5,0.6578947368421053
D3,0.625,0.856234096692112,0.5,1.4444444444444444,0.5,0.5961538461538461,0.6555555555555556,0.6982758620689655,0.5967741935483871,0.5,0.5,0.5,0.5720338983050848,0.9064327485380117,0.8526011560693642,0.5,0.5,1.2737226277372264,1.3627450980392157,0.5,0.6297297297297297,0.5,0.5,0.5,0.5,0.5,0.631578947368421,0.9764478764478765,0.5,0.59375,0.6,0.5239234449760766,,0.8926380368098159,,0.5,0.5
D4,0.7916666666666667,0.589058524173028,0.5,0.8240740740740741,0.763157894736842,1.4038461538461537,0.6555555555555556,0.5689655172413793,0.7258064516129032,1.1666666666666665,0.5,0.5,0.7372881355932204,0.7982456140350878,0.7774566473988439,0.5,0.5,0.7700729927007299,0.9313725490196079,0.5,0.5459459459459459,0.5,0.8333333333333333,0.5,0.5,0.5,0.5789473684210527,0.9416988416988417,0.5,0.8125,0.6,1.299043062200957,,0.794478527607362,,0.5,0.5526315789473684
D5,0.8333333333333333,0.683206106870229,0.5,1.1666666666666665,0.5,1.5,1.0777777777777777,0.5431034482758621,0.532258064516129,0.5,0.5,0.5,0.6991525423728814,1.0789473684210527,0.9739884393063584,1.0,0.5,1.0693430656934306,1.0555555555555556,0.5,0.5864864864864865,0.5,0.5,0.5,0.5,0.5,0.5789473684210527,0.9262548262548262,0.5,0.71875,0.55,1.5,,0.9969325153374233,,0.5,0.5526315789473684
D6,0.625,0.7239185750636132,0.5,0.9814814814814814,0.5,0.8269230769230769,0.7222222222222222,0.5258620689655172,0.5,0.5,0.5,0.5,0.6822033898305084,0.804093567251462,0.7716763005780347,1.0,0.5,0.9014598540145986,1.0686274509803921,0.5,0.5513513513513514,0.5,0.5,0.5,0.5,0.5,0.6578947368421053,0.7108108108108109,0.5,0.53125,0.5,0.7488038277511961,,0.7576687116564418,,0.5,0.5526315789473684
D7,0.75,0.7111959287531806,0.5,1.0277777777777777,0.5,1.4230769230769231,0.8333333333333333,0.5603448275862069,0.564516129032258,0.5,0.5,0.5,0.711864406779661,0.9853801169590644,0.823699421965318,1.0,0.5,0.8576642335766423,1.2320261437908497,0.5,0.5378378378378379,0.5,0.5,0.5,0.5,0.5,0.5526315789473684,0.771042471042471,0.5,0.625,0.5,1.4569377990430623,,0.8926380368098159,,0.5,0.5
D8,1.4583333333333335,0.5763358778625954,0.5,0.6111111111111112,0.5,1.0769230769230769,0.5444444444444444,0.5,0.5,0.5,0.5,0.5,0.847457627118644,0.6783625730994152,0.6502890173410405,0.5,0.5,0.8138686131386861,0.7679738562091503,0.5,0.527027027027027,0.5,0.5,0.5,0.5,0.5,0.6052631578947368,0.6776061776061776,0.5,0.65625,0.55,1.1076555023923444,,0.8190184049079754,,0.5,0.5
D9,0.5416666666666666,0.5127226463104325,0.5,0.5462962962962963,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5169491525423728,0.5,0.5289017341040463,0.5,0.5,0.5072992700729927,0.5261437908496732,0.5,0.5081081081081081,0.5,0.5,0.5,0.5,0.5,0.5263157894736842,0.5262548262548262,0.5,0.5,0.55,0.5095693779904307,,0.5,,0.5,0.5
D10,0.5,0.5305343511450382,0.5,0.5740740740740741,0.5,0.5,0.5444444444444444,0.5086206896551724,0.5,0.5,0.5,0.5,0.5,0.5058479532163742,0.5173410404624278,0.5,0.5,0.5437956204379562,0.5326797385620915,0.5,0.5081081081081081,0.5,0.5,0.5,0.5,0.5,0.5263157894736842,0.5115830115830116,0.5,0.5,0.55,0.5047846889952153,,0.5061349693251533,,0.5,0.5
M1,1.125,0.7035623409669212,0.5,0.6666666666666666,0.5,0.7884615384615384,1.5,0.5948275862068966,0.5161290322580645,0.5,0.5,0.5,1.288135593220339,1.5,1.1358381502890174,1.5,0.5,1.2007299270072993,0.892156862745098,0.5,0.5540540540540541,0.5,0.5,1.0,0.5,0.5,1.131578947368421,1.5,0.5,1.03125,0.85,0.5382775119617225,,1.5,,0.5,0.5526315789473684
M2,0.5416666666666666,0.5152671755725191,0.5,0.5092592592592593,0.5,0.5769230769230769,0.5666666666666667,0.5,0.5,0.5,0.5,0.5,0.5254237288135594,0.5409356725146199,0.5520231213872833,1.0,0.5,0.551094890510949,0.5196078431372549,0.5,0.5027027027027027,0.5,0.5,0.5,0.5,0.5,0.5263157894736842,0.544015444015444,0.5,0.5625,0.65,0.5047846889952153,,0.5429447852760736,,0.5,0.5
M3,0.5833333333333334,0.7162849872773537,0.5,0.7777777777777778,0.5526315789473684,0.5769230769230769,1.2777777777777777,0.5603448275862069,0.532258064516129,0.5,0.5,0.5,0.788135593220339,1.128654970760234,1.1242774566473988,1.0,0.5,1.0693430656934306,1.107843137254902,1.5,0.5540540540540541,0.5,0.5,0.5,0.5,0.5,0.631578947368421,1.1594594594594594,0.5,0.5625,0.7,0.5047846889952153,,1.0030674846625767,,0.5,0.5
M4,0.9583333333333333,0.6552162849872774,0.5,0.6111111111111112,0.631578947368421,0.75,1.3,0.5344827586206896,0.5483870967741935,0.5,0.5,0.5,1.2796610169491527,0.9298245614035088,1.130057803468208,1.0,0.5,0.8868613138686132,0.7156862745098039,1.0,0.5135135135135135,1.5,0.5,0.5,0.5,0.5,1.0526315789473686,0.9023166023166023,1.5,0.875,1.1,0.5143540669856459,,1.0644171779141103,,0.5,0.6578947368421053
M5,0.6666666666666666,0.5076335877862596,0.5,0.5,0.5131578947368421,0.5961538461538461,0.5,0.5086206896551724,0.5,0.5,0.5,0.5,0.5677966101694916,0.5029239766081871,0.5115606936416185,0.5,0.5,0.5145985401459854,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6052631578947368,0.5185328185328185,0.5,0.5625,0.6,0.5,,0.5245398773006135,,0.5,0.5
M6,0.7916666666666667,0.6475826972010178,0.5,0.7222222222222222,1.5,1.3076923076923077,0.8555555555555556,0.5258620689655172,1.5,1.5,0.5,0.5,1.2542372881355932,0.97953216374269,1.083815028901734,1.0,0.5,0.7627737226277372,0.6437908496732025,0.5,0.5351351351351351,0.5,0.5,0.5,0.5,0.5,1.3947368421052633,0.9193050193050193,0.5,1.21875,0.75,0.5191387559808612,,1.1809815950920246,,0.5,0.5526315789473684
M7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5172413793103449,0.5,0.5,0.5,0.5,0.5,0.5029239766081871,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,,0.5,0.5
M8,0.875,0.5356234096692112,0.5,0.5,0.5,0.75,0.7222222222222222,0.5,0.5,0.5,0.5,0.5,0.7330508474576272,0.6842105263157895,0.7023121387283238,0.5,0.5,0.5802919708029197,0.5588235294117647,0.5,0.5162162162162163,0.5,0.5,0.5,0.5,0.5,0.6052631578947368,0.6088803088803089,0.5,0.59375,0.85,0.5526315789473684,,0.647239263803681,,0.5,0.5
M9,0.875,0.5483460559796438,0.5,0.5092592592592593,0.5131578947368421,0.7115384615384616,0.5888888888888889,0.5,0.5,0.5,0.5,0.5,0.9703389830508475,0.6345029239766082,0.7196531791907514,1.0,0.5,0.6386861313868613,0.5130718954248366,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.631578947368421,0.6073359073359074,0.5,0.75,0.7,0.5,,0.7331288343558282,,0.5,0.5526315789473684
M10,0.6666666666666666,0.5,0.5,0.5092592592592593,0.5,0.5384615384615384,0.5888888888888889,0.5,0.5,0.5,0.5,0.5,0.6271186440677966,0.5614035087719298,0.546242774566474,0.5,0.5,0.5145985401459854,0.5065359477124183,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5789473684210527,0.5138996138996139,0.5,0.53125,0.55,0.5,,0.5736196319018405,,0.5,0.5
M11,0.5,0.510178117048346,0.5,0.5092592592592593,0.5,0.5,0.5444444444444444,0.5,0.5,0.5,0.5,0.5,0.5169491525423728,0.5760233918128654,0.5520231213872833,0.5,0.5,0.5364963503649635,0.5261437908496732,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5393822393822394,0.5,0.53125,0.55,0.5,,0.5306748466257669,,0.5,0.5
M12,1.25,0.5916030534351145,0.5,0.5925925925925926,0.5263157894736842,1.4615384615384617,0.7444444444444445,0.5,0.5,0.5,0.5,0.5,1.1864406779661016,0.6257309941520468,0.6907514450867052,0.5,0.5,0.6094890510948905,0.5718954248366013,0.5,0.5081081081081081,0.5,0.5,0.5,0.5,0.5,0.9736842105263157,0.6019305019305019,0.5,0.75,0.95,0.5191387559808612,,0.7024539877300613,,0.5,0.7105263157894737
M13,0.5,0.5152671755725191,0.5,0.5277777777777778,0.5,0.5192307692307693,0.5444444444444444,0.5,0.5161290322580645,0.5,0.5,0.5,0.5296610169491526,0.5497076023391813,0.5751445086705202,0.5,0.5,0.551094890510949,0.545751633986928,0.5,0.5108108108108108,0.5,0.5,0.5,0.5,0.5,0.5263157894736842,0.5432432432432432,0.5,0.59375,0.65,0.5047846889952153,,0.549079754601227,,0.5,0.5
F1,1.1666666666666665,1.5,0.5,0.6018518518518519,0.5,0.9423076923076923,1.3888888888888888,0.5,0.5,0.5,0.5,0.5,1.5,0.7456140350877193,1.5,0.5,0.5,0.9525547445255474,0.545751633986928,0.5,0.5162162162162163,1.5,0.5,0.5,0.5,0.5,1.5,0.6799227799227799,0.5,0.75,0.75,0.5143540669856459,,1.00920245398773,,0.5,1.3421052631578947
F2,0.75,0.693384223918575,0.5,0.6944444444444444,0.881578947368421,1.0576923076923077,1.2333333333333334,0.646551724137931,0.8387096774193548,1.5,0.5,0.5,1.1398305084745761,0.9210526315789473,1.130057803468208,1.0,0.5,0.7627737226277372,1.3888888888888888,0.5,0.5243243243243243,0.5,1.5,1.5,0.5,0.5,1.4210526315789473,1.1602316602316602,0.5,1.5,1.5,0.5526315789473684,,1.156441717791411,,0.5,0.9210526315789473
F3,0.5,0.5203562340966921,0.5,0.5,0.5263157894736842,0.6730769230769231,0.5,0.5,0.5,0.5,0.5,0.5,0.6101694915254238,0.5116959064327485,0.5867052023121387,0.5,0.5,0.5291970802919708,0.5065359477124183,0.5,0.5027027027027027,0.5,0.5,0.5,0.5,0.5,0.7368421052631579,0.5316602316602317,0.5,0.53125,0.65,0.5,,0.5552147239263804,,0.5,0.6052631578947368
F4,0.5416666666666666,0.8104325699745547,0.5,0.537037037037037,0.5131578947368421,0.8461538461538461,1.1,0.5,0.5,0.5,0.5,0.5,1.2245762711864407,0.6461988304093567,0.9682080924855492,1.0,0.5,0.6459854014598541,0.5065359477124183,0.5,0.5027027027027027,0.5,0.5,1.0,0.5,0.5,1.473684210526316,0.6034749034749035,0.5,0.96875,0.8,0.5047846889952153,,0.8558282208588956,,1.5,1.5
